gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
4.073331202175890553e+01,-7.405626285775944950e+01,1.280798320207078955e+00,-7.017888298857619112e-02,-5.912084088973540430e-02,6.763016367582368182e-02
4.073331424695927439e+01,-7.405627661060427158e+01,-7.176722094423507725e-01,-4.384812785982093036e-02,2.603494233679227044e-03,4.996663765371957798e-03
4.073332235757622044e+01,-7.405625713183843573e+01,-1.576973620611095583e+00,5.064662134882463862e-02,9.620493849882388870e-02,-3.195878357901995453e-02
4.073332319495013820e+01,-7.405627229891466357e+01,5.005971627484326891e-01,-1.982382795919569729e-02,-3.270729568671488369e-02,-9.257344946743323311e-03
4.073330307049743482e+01,-7.405627621130139460e+01,-4.728697991461187911e-02,2.703523176296919461e-02,-3.990886833748470697e-02,-1.422122040443641634e-02
4.073333474974207746e+01,-7.405626511591181327e+01,1.689508994090834992e+00,-8.372574460067368565e-03,-4.337941941851577998e-02,5.349754251725111903e-02
4.073332060212617023e+01,-7.405627601658473225e+01,-5.338951303444118279e-01,6.503097598605954432e-02,-4.137602043737828583e-02,-3.221876425008855793e-02
4.073332384110776161e+01,-7.405627204106187378e+01,-1.703812694478159306e+00,-1.557926058356903093e-02,-1.675349009404250231e-02,3.372056079989348837e-02
4.073331981806680346e+01,-7.405625481881386918e+01,1.010103704213737297e-01,-2.494079817416656672e-02,-6.195082992787423644e-04,5.867714350499315945e-02
4.073333250114667692e+01,-7.405627525825902069e+01,4.535130712629851235e-01,-4.996746614414514925e-02,2.202952893934718298e-02,2.908997295765168578e-02
4.073331799830246069e+01,-7.405627176604296835e+01,-5.786757384523929737e+00,3.714768913212068008e-02,-4.455345269077920500e-02,-2.032831533688884886e-03
4.073331320146355239e+01,-7.405626768231735468e+01,6.609533375669044419e-01,2.502172262747289974e-02,3.353855573124514544e-02,-6.102387951401036514e-02
4.073330588916526551e+01,-7.405626855637217432e+01,6.045977001324864819e-01,4.804949693867868743e-02,-6.024989925152750975e-03,1.907695971636997126e-02
4.073332473513187324e+01,-7.405627278393592405e+01,2.108884099958346692e+00,2.778243908356811676e-02,4.603136641914840760e-02,-7.557978438899799756e-02
4.073331953428423446e+01,-7.405627197259367733e+01,-6.493375866369075489e-01,2.378849788989616243e-02,-3.760157135154739566e-02,-8.967989247407032183e-02
4.073331347177612116e+01,-7.405625453873754793e+01,-2.446442079586476748e+00,9.157904856362153456e-02,6.974108246794678834e-02,4.872644672379344150e-02
4.073332183232391657e+01,-7.405627667164755223e+01,-4.121500116876998798e-01,-1.183901650774332043e-02,-3.039941974836433969e-02,4.128135845072487126e-02
4.073330999451248857e+01,-7.405623596330170244e+01,2.048444267262407248e+00,-4.096466217972397073e-02,-6.366959458816350004e-02,-1.287684219147460819e-02
4.073332607973500075e+01,-7.405626226251740718e+01,-9.054589564419067427e-02,7.075431430840492530e-02,1.175673851934332936e-01,-2.035471284158337987e-02
4.073331893968597228e+01,-7.405623822630778363e+01,4.811654417804694384e-01,8.650182546667520463e-04,-8.249944086435066770e-02,-4.175164643850929475e-02
4.073333194814024694e+01,-7.405626066585277556e+01,1.793395777025245663e-01,5.633181518254159331e-03,4.942656977954196229e-02,-1.417226408553545758e-01
