mag_x (uT),mag_y (uT),mag_z (uT)
1.686971760413456067e+01,1.247590764069724756e+01,4.693766071200839463e+01
1.683299249463225067e+01,1.242657486163966851e+01,4.705146231256587441e+01
1.652935229261741057e+01,1.217978111001205122e+01,4.670553542893351562e+01
1.660442720279463202e+01,1.251798081142871055e+01,4.704208055077850759e+01
1.663446496094259786e+01,1.242379730837348184e+01,4.667895907217820906e+01
1.642498091387685477e+01,1.241135345178959604e+01,4.734604176606544002e+01
1.656312074583895111e+01,1.265929460817153540e+01,4.668669402523688206e+01
1.646617256335555268e+01,1.266263704816651270e+01,4.722632687503740101e+01
1.672517763789311118e+01,1.239898146093143616e+01,4.710999953988727640e+01
1.631386335042855862e+01,1.256475074084586296e+01,4.698172379272372723e+01
1.645955947612488757e+01,1.280099857719689993e+01,4.719268612607741886e+01
1.672728151943482899e+01,1.240763755165991533e+01,4.712804630340871626e+01
1.635072404742299668e+01,1.295190827313054527e+01,4.689687681330890001e+01
1.650262457830227092e+01,1.234853042836495973e+01,4.696441284941973038e+01
1.644650314353274467e+01,1.240211993160358794e+01,4.693323138222086044e+01
1.654859818012541339e+01,1.264092773983658269e+01,4.662289021295966052e+01
1.690925184930857483e+01,1.260966957665718802e+01,4.699049311625884684e+01
1.678546189598736049e+01,1.288888727165433679e+01,4.710825682682003190e+01
1.638146036183161769e+01,1.259425045161234813e+01,4.735030425445621916e+01
1.639384372694200565e+01,1.275646789297117856e+01,4.697847491509234885e+01
1.653258760131662441e+01,1.237606392297281843e+01,4.698359300602371036e+01
1.626869155121080013e+01,1.237956852352061077e+01,4.690033434565137327e+01
1.683469321930154194e+01,1.246963522038646133e+01,4.671418026234909604e+01
1.621185602957581651e+01,1.283748542563453654e+01,4.687055619345347424e+01
1.683528228343291389e+01,1.265083983530545986e+01,4.677477377540773773e+01
1.645607102042288616e+01,1.247379394851761703e+01,4.684432602873126683e+01
1.640421819085622346e+01,1.238119606267163952e+01,4.677280631832991986e+01
1.693406569324192645e+01,1.231778746512055633e+01,4.707262429302315354e+01
1.652946650521665362e+01,1.240248176714474759e+01,4.717205868561432425e+01
1.639532069604837972e+01,1.267476215902327930e+01,4.693317239786377826e+01
1.639181960118241932e+01,1.252354385936123649e+01,4.730417713973319138e+01
1.640553650478301151e+01,1.255660453307113933e+01,4.674542708215274445e+01
1.667201010284066243e+01,1.219317644968137770e+01,4.714297135289828589e+01
1.670415530094003742e+01,1.241852228403830516e+01,4.727237569822247565e+01
1.647240839753595765e+01,1.228052030343827283e+01,4.714854262747836344e+01
1.667764225954245561e+01,1.243881505180173797e+01,4.667417557605351419e+01
1.670654142477270909e+01,1.244840312980315211e+01,4.681714793620252379e+01
1.632598426222845589e+01,1.279743897644067196e+01,4.675915380107303321e+01
1.647060847626689650e+01,1.226033389667138351e+01,4.677454389208879348e+01
1.676226914033655646e+01,1.280813707907267229e+01,4.713860038601901437e+01
1.638115783814954440e+01,1.249591703601188897e+01,4.704719867882694473e+01
1.658495421436906625e+01,1.228218611881686861e+01,4.711349964246591071e+01
