gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
3.190442502099147953e-02,-5.614272239792670975e-03,-4.570192872672817629e-04
1.636074201591876040e-02,1.530963437155902045e-02,-1.443503117309810971e-02
6.677570285639027048e-02,-1.467773000465139727e-02,6.676878436306536713e-02
-6.744506534273581044e-02,-1.780789901073935241e-02,4.925082093791809806e-02
3.527887819932618279e-03,3.701403231406085511e-03,5.706268604578831893e-03
-5.688789315750984038e-03,2.858125537150831355e-02,4.024192676856130219e-02
-4.502070508982053409e-02,1.202480455862813859e-02,-5.838667248059146303e-02
-1.731585201846442754e-02,2.513143160379840632e-02,2.476843453682398000e-02
-3.674511548171077030e-02,-5.096865259293317622e-03,5.963524412768485966e-02
8.071194415317279117e-03,-2.465261181503002746e-02,1.792494152053700218e-02
2.463133347879234783e-02,-3.442410221556153980e-03,-8.389385207102920822e-03
-6.547599787934145314e-03,3.268084683916935157e-02,-4.019095126527744838e-02
-1.022591276760920036e-02,1.341208746821865271e-02,-5.311519634481747659e-02
1.370876849916744661e-02,-8.804799283640836818e-03,-4.472908853548182920e-03
3.057406184061843557e-02,-3.441956352539817660e-02,1.102714695995111668e-02
1.137386382043580957e-04,1.056790908003296149e-02,-8.503829849552688169e-02
-3.351726981918285581e-02,-3.503362027586805205e-02,4.140451287420265220e-02
-6.060456428473016965e-02,2.397817652886352971e-02,4.220171861304806982e-02
1.653883602147999737e-03,-7.683179393818093637e-03,1.100001178747348624e-02
-1.396337982215907214e-01,-4.688723366174882973e-02,1.307628151656859382e-02
-3.011795281086137796e-02,-5.151160253141282702e-02,-2.251093677605104509e-02
-4.682746530617216615e-03,-7.614322675494675230e-02,2.617065810753873775e-02
-1.964617897347176179e-02,-2.242644131846518660e-02,4.184870638959518191e-02
4.648432895391705309e-03,-8.845309263542001921e-02,1.616858501331820339e-02
-6.109440704860341805e-03,-2.006807190604827443e-02,-4.215934604358451826e-02
3.280433882025882847e-02,8.847918246744586324e-02,3.279235642128091460e-02
-3.583156035653243393e-02,-2.571613983539988366e-02,5.625563757125642654e-03
3.441626137490903098e-02,-2.413989782120977076e-02,-2.265893836359502648e-03
1.391563388508741325e-02,-3.659937033111231725e-02,2.930215429540747318e-02
-2.858627851845775905e-02,8.676577344731188635e-02,-9.003625054166057573e-02
-5.673138250091046275e-03,3.907230678111457689e-02,-4.817547955075696803e-02
