accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
6.990882804175727223e-03,1.677555904489866530e-03,-9.797598720128796401e+00
2.392473830240026030e-03,1.193984235051433543e-03,-9.819799676876364458e+00
-1.181509836621973163e-03,2.248783119550057212e-03,-9.805609888705825838e+00
3.157777977985622240e-03,-6.406889811685162472e-03,-9.814776585442897883e+00
5.357684358486673216e-03,2.499048314247746556e-03,-9.797792438665144488e+00
-3.101661328373756053e-03,4.744009473069650713e-03,-9.797898901752123635e+00
-4.557419695778876408e-03,8.044975418229901448e-03,-9.807366461539267277e+00
6.582673182112547088e-03,-9.932361212732835048e-04,-9.800713211143044390e+00
-6.433352397792461118e-03,2.427812357403495800e-03,-9.797513571209657712e+00
1.123125900987048198e-03,4.752142337938885207e-03,-9.785173680766085624e+00
8.706243606283834563e-03,3.106628601528205018e-03,-9.802860953260978505e+00
-1.013379232139302534e-04,4.011619013326825009e-03,-9.804951141349199872e+00
9.090454477087879168e-03,1.371372946561925888e-03,-9.802710250354014221e+00
7.351822356898415380e-03,-4.274905987183965500e-03,-9.813874992547669152e+00
2.459593259446625577e-03,7.256760035437835946e-03,-9.803804264140122626e+00
2.203634196451771405e-03,5.342373932661314802e-04,-9.801083627073191806e+00
-3.969183679140409100e-03,-5.775002187165489921e-04,-9.798441630370215094e+00
8.102722441983079612e-04,-9.563964582613418332e-04,-9.787890970273892322e+00
1.033807735322513077e-02,3.344687173750099645e-03,-9.789015379711315745e+00
2.047104743164960237e-03,-2.076114555273224100e-03,-9.803724836272740717e+00
2.456045654495195470e-03,-1.836642066173096608e-03,-9.792241737299983484e+00
1.979482234354446729e-03,-4.070606905271553083e-03,-9.806665051567110325e+00
6.008622179992793161e-03,2.183750765136868721e-03,-9.805288693838996039e+00
-4.226653643848342156e-05,-1.317693489772417924e-03,-9.786227757048392206e+00
-1.070099191124146421e-02,1.465567962356203275e-03,-9.795609767055859507e+00
-5.485625191429117399e-03,1.113810001047631747e-02,-9.808620311213463339e+00
-1.121505241568060765e-02,6.922072696254259576e-03,-9.789217117067238405e+00
-2.867509770037492394e-03,9.738486541098110520e-04,-9.799031476340738678e+00
-6.825279856757378652e-03,4.259259611059984345e-03,-9.788293646398976477e+00
